author,comment
@narcispana9361,Thank you for the opportunity <br>! You&#39;re a great host!
@thecurrencysearcher9337,Jordan wouldn&#39;t make it in my world.  He just doesn&#39;t get it.
@EricTrask-bi3ez,Psychosis is similar but it is not what I received
@EricTrask-bi3ez,Ever heard of sound torture.
@EricTrask-bi3ez,Can you say there is different levels of progress? How do we do that I’m quarantining that’s likely? So we live and die on the answers you choose.
@jasonhiggins6236,Dr Peterson is the father I never had . He helped me to change .  I only feel that his most recent endeavor into religion is such a stretch.  I wish him the best but he has lost me for now.. I can&#39;t follow down the road of changing what they&#39;ve told me since I was old enough to hear .
@Tinishahateyou,❤❤❤❤thank you 😊
@N-Keyy,"First time listening to this host, he is doin a great job being a host, well done. This is the first time I listened to  a podcast this long from beginning to end."
@itsellabean,"<a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=1299"">21:39</a> this 👌👌"
@Mitral_valve,"<a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=1186"">19:46</a> brought tears to my eyes. I know so well the shame of the first step"
@karenholtzclaw3135,😊
,too late.😀
@prettyprudent5779,"<i>____</i> <a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=3721"">1:02:01</a>"
@xoxrumblelorexox6073,Anyone want to hear their opinion on glossolalia &amp; other psychological traits within humans? Would love an episode on parapsychology?!
@brooklina3456,Great conversation but a ridiculous amount of ads !
@0blbe1,&quot;there nothing more adventurous than the truth&quot; only 1 min in and already has my mind thinking
@jessicaluoren970,Feelings are only controlled by the  brain in which it lives.Braina can not control other brains.... Anytime I hear someone say that I immediately change the channel
@just-jiu,"Tbh, Musk&#39;s is like a batman; his only superpower is his wallet."
@oliverbeck6839,"great episode but I couldnt stop cringing when jordan kept interrupting chris, atleast let the man finish!!"
@THEFIRSTANDTHELAST77,"THE WORD BECAME MY FELLOW AND I HAVE DONE EVIL FOR THE EVIL I DID TO HIM COME AGAINST ME HIMSELF KILLS THE SIN IN ME, THE WORD BECAME THE SON OF MAN SO THAT HIS RIGHTEOUSNESS DID ME USE ME AND GIVE IT TO ME👉👉👉 Job (35:5) Look to the heavens and see! Do you see how high the clouds are over you? (35:6) If you sin, what harm do you do to Him? And when your sins multiply, what do you do to Him? (35:7) If you are righteous, what do you give to Him? What does He receive from your hand? (35:8) Your wickedness can only harm your fellow man, your righteousness benefits only the son of man. SOMETHING TO HIM WHO IS THE PERFECT SPIRIT COMPLETELY PERFECT, BUT TO HELP US OUT OF LOVE AND TO SAVE US FROM ETERNAL LOSS HE MADE MY FELLOW AND SON OF MAN LIKE US, THAT OUR WICKEDNESS SHOULD AFFECT HIM AND OUR RIGHTEOUSNESS USED HIM, BUT THESE TWO DID EVERYTHING TO SAVE US IN HIS LOVE, OUR WICKEDNESS AGAINST HIM WAS TURNED INTO OUR WICKEDNESS AGAINST THE OLD MAN AGAINST THE SIN IN US TO KILL HIM, AND HIS NEW ATTRIBUTED RIGHT TO USE US FOR ETERNAL LIFE AND TO HE HAS IN HIS LOVE ALL ETERNITY WITH HIM. ((((Isa 46:4) until your old age I will be the same, until your gray hairs I will support you! I have carried you and I still want to carry you, support and save you.)))"
@THEFIRSTANDTHELAST77,"THE CROWN OF THORNS THAT KILLS SINFUL THOUGHTS🧠🧠🧠---THE HOLY WORD IS THE SEED THAT CRUSHES THE SEED OF THE SINFUL WORD IN OUR HEAD, THINKING, AND WISDOM 🧠👉👉👉 Genesis (<a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=195"">3:15</a>) I will put enmity between you and the woman, between the seed thy and her seed. She will bruise your head, and you will bruise her heel.&quot;===1 Corinthians<br>(<a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=79"">1:19</a>) Because it is written: &quot;I will destroy the wisdom of the wise and take away the understanding of the wise&quot;.===Psalms (68:21) Yes, God will crush the head of His enemies, the top of the head of those who live in sin.= ==Psalms (110:6) He executes justice among the nations: everything is full of dead bodies; He crushes heads throughout the land.===Isaiah (<a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=1754"">29:14</a>) therefore, behold, I will again do wonderful things with this people, wonders without likeness; and the wisdom of his wise shall perish, and the understanding of his intelligent shall be hid&quot;.---THE CROWN OF THORNS IS THE HOLY WORD AND THE HOLY HEAVENLY THOUGHT THAT PIERCE AND PUSH THE SINFUL THOUGHT OUT OF OUR MIND, THE CLEAN THOUGHT KILLS THE UNCLEAN THOUGHT, THERE WHERE HOLY THINKING IS INSTALLATED, UNHOLY THINKING FINDS ITS END IS DELETED UPROOTED, UNINSTALLED, 👉👉👉THE EARTH THAT BRINGS THE CURSE UPON SIN IN US BY TRANSFORMING THE HOLY WORD INTO THE EARTHLY BODY, SO WAS THE UNHOLY EARTH TRANSFORMED INTO THE HOLY LAND👉Genesis<br>(<a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=197"">3:17</a>) To the man he said: &quot;Because you listened to the voice of your wife and ate from the tree about which I commanded you: &#39;You must not eat from it at all&#39;, now the ground is cursed because of you. With much toil you shall draw your food from it all the days of your life;<br>(<a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=198"">3:18</a>) thorns and thistles give you and eat the grass of the field!-CURSING SIN IN US, AND BLESSING RIGHTEOUSNESS IN US THROUGH THE HOLY GROUND WHICH IS THE HOLY WORD FOOD FOR ALL DAYS👉Luke (11:3) Give us our daily bread every day, AMEN."
@izzyc7233,There is no dark without light
@kathyschulz4251,"Ask this question. &quot;What is the story of you?&quot; &quot;How do you spend your days?&quot;ask and listen. 😊i heard that froma fantastic therapist, she is online lovely female with dark hair and eyes. Im so sorry i cant give her the credit she deserves. She&#39;s right. Ask those questions"
@jasimcg.6527,"Sorry kangaroo is my go to living in Brisbane QLD. Im sure Roo is just as if not higher in omega 3,s than an old doe ."
@Ihledome1,Why does this look like A. I.?
@magentapilot4576,"Honestly, this is impeccable 👌"
@rosstaylor00,Anyone can do body.  Give up on that BS push
@keownfinefolders,Pearl begging for money and not showing that 🐒 on OF
@xtiont6631,I don&#39;t think there&#39;s anything inherently wrong with homosexuality you can&#39;t judge somebody for their preference that makes you the bad person.
@xtiont6631,I think homosexuality is the world&#39;s way of limiting how many humans are on this planet...
@xtiont6631,His honesty is so beautiful ! If you make your sexual preference your identity you&#39;re in a world of hell !
@xtiont6631,"I absolutely hate the term fake it till you make it that&#39;s an absolute cop out, I know it&#39;s not meant to be a cop out but people typically use it as one"
@mauritahowell1415,He used the word fat though. I can’t
@TheStudioManila,"<a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=1"">00:01</a>"
@vyloniousbloodwing3061,All I can do at this point is apoligize. LIFE is a gift and should never be taken for granted especialy mine. All of you have been doing your absolute best to help me. Again I am sorry. I humbley beg for your forgivness.
@SayconTalks,"<a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=4197"">1:09:57</a>  I think in some worlds, for example, the boxing world similar to this social debate world or political debate world, people only find individuals that they have in common or even the desire to think so deeply – even if the opinions are opposing."
@willa4256,One of my favorites... extremely high quality content!
@TKaddict,The subs and views you have got are qorthy of your content and your guests!<br>Im happy your channel crossed paths with me!<br>Jordan is for me something similar to mosses.<br>He gives the knowledge to those who seek understanding!❤<br>Keep leveling up my friend!<br>Hope i do good like you are doing now!
@hawkarae,"&quot;Tell the truth or at least don&#39;t lie...especially to yourself because...&quot; I remember where I was standing when I HEARD how I had lied myself into the simulacra I had become. Jordan Peterson may be the brother Moses Bob Marley was calling out when he died.  <br>&quot;How many rivers do we have to cross, &#39;fore we can talk to the boss? I&#39;m sayin.&quot;<br> Like he said 😘 <br>Thank you Chris, Jordan and teams. Such gratitude would be banned if they only knew..."
@looweegee252,"No, not everyone has malevolence in their heart. Thats projection."
@Raahiba,"I keep hearing about this thing of presenting a different persona on social media from how you are in person. As far as I&#39;m aware I have never done this. It might be because I got in at the start of Facebook when it was just for US students to mess about on and no one I knew was using it as a business card, but for whatever reason I didn&#39;t see these platforms as a stage to present on. I deactivated all my social media profiles years ago anyway, but this split-personality thing doesn&#39;t feel real.<br><br>Incidentally, I also never wrote an essay with the lecturer&#39;s ideological approval in mind. This didn&#39;t seem to damage my results in the early 2000s; maybe it wouldn&#39;t be as great now, but it sounds like this was a dilemma for Dr Peterson&#39;s cohort well before me so maybe it&#39;s always been an issue and I just got lucky with my lecturers (or accepted ideologically lower marks on the assumption that those essays just weren&#39;t very good, who knows)."
@denisecuozzo7051,The ads on your channel make it impossible to watch.
@marcelkuiper5474,"I sometimes, and sometimes more then that. Feel like the storm we are in, will transform the world in ways people cannot fathom. People are used to their sense of self, but with the speeding up of everything on every field, they must leave this former self behind, or they will go batshit crazy , anybody can relate to this? That we must prepare for everything and therefore empty ourselves to be both full of potentiality, and free from the shackles of fear,  the fear knob will be turned up to the max when the current matrix of control and doninator culture falls apart."
@mak_xx9456,What if you know where you can do better. But yet still struggle to make it better?
@karenholtzclaw3135,😊
@joshaustin9119,Paraphrasing: &quot; ....outlook...not positive...you haven&#39;t lived long enough&quot; -forget who
@Jasmina-w7q,I WEIST MY TEIME HOVE I WILL IM NOT ENYBADY SLEIVE
@Lovebubble_01,I love his voice
@AndrewPhillips-xp6dy,The fear of the Lord is the beginning of wisdom.
@mindstormzhub,My life changed forever when I was introduced to Jordan Peterson. ❤ Been on a constant path of growth for a whole year now. Read all 24 Rules For Life. Now I need to read Maps of Meaning!
@Stratton218,annotations
@DuffyLew91,"Could it be that we have extended childhood, delayed adolescence, and adulthood, so that the most difficult and challenging transition is from adolescence to adulthood, rather than from childhood to adolescence?"
@andrewwoollard2255,ENOUGH ALREADY JORDAN..<br><br>TO MANY WORDS.........<br><br>TIME FOR SOMEONE TO STEP UP AND BE A SPOKESPERSON FOR THE HUMAN RACE.<br><br>SOMEONE WHO HAS A SENSE OF HUMOUR.<br><br>THIS IS ALL TOO DRY.<br><br>THERE IS NO JOY HERE. THERE IS NO JOI DE VIVRE.<br><br>LIFE IS REALLY NOT COMPLICATED. THE PROOF OF SOMEONES MASTERY IS IN THE EVIDENCE OF LIFE AND THE WAY YOU LIVE YOUR LIFE.<br><br>WORDS ONLY DANCE AROUND LOVE.<br><br>EXPLAIN THIS TO A CHILD. IF THEY UNDERSTAND IT THEN YOU HAVE A GREAT TRUTH.<br><br>ALL THIS WORD &quot;CLEVERNESS&quot; ACHIEVES VERY LITTLE.<br><br>THE SILENCE BETWEEN ALL THIS VERBAGE IS WHERE USEFULL INFORMATION LIVES.<br><br>YAWN!
@douglasshaw1320,Make your bed.
@cedricksmith8318,Was this video produced by AI? Something looks off here
@CrystaTiBoha,"The most powerful method of eliminating suffering is described at the beginning of the oldest remaining printed book in existence, a Chinese copy of the Diamond Sutra of Mahayana Buddhism. Here it goes: <br><b>Practice of indiscriminate charity, generous giving of oneself and of objects of our desires, for sake of all (and none in particular) beings.</b><br>This is what Jordan is talking about about in the middle of the podcast. Be blessed fellas.<br>We <b>cure the self of suffering</b> when we existentially and renouncingly embed the self in honorable dedication to the *other*, beyond death."
@vangoghthecritic,Masterpiece!!!
@Dragonshader,"I must confess I don&#39;t know you. I stumbled upon your video because it got recommended in another Jordan Peterson video. So algorithm sent me here. Just wanted to say that I really like they way you did this interview. It was more of a conversation than a classical interview. I hate it, when the host doesn&#39;t really listen and just wants to empty his/her list of questions. But you really reacted to everything he said and you spontaneously asked questions about it. Very sympathetic host. Thanks for this video. Not a native speaker - sorry for any confusion. Best wishes from Germany."
@skybluegarza2353,Dr. Peterson is one of the best thinkers of this time. I attended his conference in Los Angeles yesterday and it was great.
@nw28x,JP is among the last people who should be trying to explain the book of Job.
@matthewnelson9809,for me
@matthewnelson9809,some thing drive me to that and i cant see how tht going to ocme tru cause im rich it a spritual con for self worth then the cash
@mattm4812,This is ridiculously good. Too many great takeaways. Thanks!
@zwiebelscheise,i can&#39;t listen to this guy
@tekboi1984,What he says around the 10 minute mark is so important.
@evangelcareassistedliving5511,Do you have teachings for kids? meaning age 4 to 18. I will like for them to listern to this.
@selfovercome4161,"Bing, Bing, Bing, Bing, Bing, Bing, Bing..."
@robertrettig7110,"😮Jordan, there are tens of thousands of us who are anxiously waiting for you to quit performing the one unforgivable sin, which is blaspheming the Holy Spirit! That sin is the rejection of Jesus as our redeemer, and that He is the only way to Father God! We have to come to the end of ourselves, understand our wretchedness, and ask Jesus to forgive us. This is called being born again! How is the Truth at odds with anything in this conversation? Many of us see you right on the edge of acceptance of Jesus, but your “scientific viewpoints” of your field are holding you back….The Bible talks about “pride goes before a fall”. You’re so busy analyzing everyone and everything, you forget that your followers are analyzing you too! I don’t know if you study prophecy (30% of the Bible) or not, but it’s clear God is wrapping things up with events and insanity the Bible talks (read Matthew 24 for just a taste, and Ezekiel 37-39, and ask yourself if any of this CURRENT world situations fit) about! God says in the Bible prophecy is given so we know He’s God! We’re soon to be raptured, imagine yourself waking up finding yourself left behind? God has been calling and calling you and He wants you to wake up! He’s not willing for anyone not to be with Him, so He gives us Tribulations to begin the humbling we all need to quit relying on ourselves and surrender to Him! Ask yourself IF all the things that’s happened to you with your credentials are a coincidence or not! God’s peeling you away from the things that are consuming you and keeping you from being all in. I’m a retired Naval Officer, Nurse, played and managed bands, done a lot of community volunteer work, etc; staying consumed to the max. God woke me up by taking away the physical ability to do these things and I reached that moment you guys are talking about. Only, I knew to reach out to be born again! My life is richer, anxiety is gone for the most part, awaiting the return of my Lord! I, like Paul said, am trying to occupy till He comes. I used to get sad thinking my country and everything I worked for, and identify with was gone! Now I understand why living for this world without God, makes everyone so dysfunctional ! We’re hoping and praying for you to “take that last step”!"
@christinaolmos1293,"Yes ,.been cooking and cleaning.thanks"
@youreyes5991,"Hey, make this as podcast pleasee😮😮"
@TheodoraKimmelHello,"I think people are wasting their lives when they refuse to confront the part of them that says trauma survivors are lying. So what if they are lying? They didn’t ask for money from you, they didn’t ask you to go kick the assailant’s ass, they made you feel something that is a good thing that you’re able to do because at least you know you’re empathic."
@peted3857,"Every time I pick my first video on YouTube this guy shows up next with his postulations and theories and his monotone voice. Driving me nuts. I love Jordan Peterson, but this other fella tries to match peoples intellect with smart ass. Sayings doesn’t seem to really anything."
@구겐하임,"<a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=2730"">45:30</a> im not going to pretend to be someone other than who i am so i can work here"
@skullchick911,I realized later in life (after my mom died) that i was not who i am.  I wasnt aware of the fraudulent manner in which i led my life.<br><br>I have been learning again to.see. but it has been the hardest time in my life. .im.lost and alone.  And i still run into bad people.  I am trying though because i am truth.
@bmarisolmp3264,So much help
@jenns2074,"Verbal salad , blah"
@blessed-are-the-broken1979,I am seriously in love with this man❤
@Timbzzz,Israel means people of god.
@mrhassell,Why? I&#39;ve become so efficient at doing so!
@pdxnikki1,"Not all are called to greatness. Some are just called to do small things with great love.- St. Mother Theresa<br>I&#39;ll be very surprised if JP doesn&#39;t become Catholic. St. Michael the Archangel, protect him. Mother Mary, pray for him."
@TheMightyMurse1917,Such a great interview!
@jonanjalon3783,🙏🙏🙏
@bettypowell1432,"Excellent, thank you."
@dancorvalan3205,This is good stuff!
@HolisticHealthDave,ITS the spirit Peterson “he” is god “he” ?
@HolisticHealthDave,I’m sorry but TO SELL is very much to manipulate! Period
@izzyspeakstv3121,"Huge respect for the interviewer!! <br>First 10 seconds made J.P feel comfortable with an intellectual question, but body language, and tone were also KEY to gold nugget of an interview 💥  <br>Beautifully played"
@claudiawilliams-BEYOU,"Loved this conversation , Chris did such a great job holding the conversation as well<br>That speaks volumes <br>May I grow in wisdom and intrinsic wealth as I grow in humility 🙏🏻"
@ec6933,It&#39;s a delusion when you&#39;re ignoring elements of your own experience That would inform your fantasy more effectively You&#39;re ignoring them so that you can live in a positive representation of the future without having to pay the appropriate price for it.
@paulderose7014,"I come back to this episode a ton and relisten to it. Chris, I want to thank you for this interview. In late summer of 2023, my then fiancé left me unexpectedly with our wedding just 3 months out in November. I was devastated as I did not see that coming. I’ve had to dig deep within to pull myself out of the depths of hell. This episode you did with Jordan is the constant reminder to me that we can overcome any obstacle that comes our way. Thank you 🙏🏻"
@jefflawson9273,"The misery/demoralization Dr Peterson is addressing will not be able to be combatted until the basic educational system of this country is addressed and it is taken seriously.. the 3 R&#39;s addresssed and no one passed on to the next level unless the are proficient. Religion not a part of the basic educational system- it is limiting to the the thought process and gives the educators chance at bias. You can practice outside the class room.. with exception of philolsophically based classes that are not weighted or biased in an specific way.   History taught as honestly as it can be relayed.. and not just the history related to our relatively recent and local world.. It&#39; important to see that the basic history of mankind  tends to repeat and has for man regardless of era, gography and culture. The arts to be taught alongside with a serious tone to be taken serioulsy- as the arts tend to reflect the world around them and tell truth even when the mouths of politicians and preachers do not. <br>Sex addressed seriously as a matter of biology and not made out to be taboo creating an unhealthy attitude that only leads to it being exploited in some way as control mechanism..<br>And the most important things that are absent almost completely are basic macro and micro economics like the fractonal reserve banking to balancing and reconciling an account - and civics- not patriotism.. but the basic workings of the processes that lead to how statutes come into existance and what role of the documents on which those things are founded play .. patriotism needs to inspired through this.. not drilled into ones head as a mandate to build cannon fodder when it&#39;s summoned.      Until these things are done... this is entire conversation- while very informative and inspirational-- will  fall primarily on deaf ears.   Please  forward to Dr Peterson..  Hillsdale College is an indoctrination point to build a fascist state BTW.."
@educationforall5458,All about the truth most of us ignore. Love this
@g.g.die1295,You could watch this a hundred times. and still learn.
@hisetenespanolbysara6556,"Thank you. Without Dr. P., I would be lost."
@doloresrobertson7265,"Why take the Lord’s name in vain?  Very disappointing, and I didn’t want to finish watching after hearing that.  So unnecessary."
@jacintamcpadden7258,"And  THE TRUTH shall set you FREE “Someday, Somewhere, Be strong and take Good courage for the Lord your God goes with you. 🔥🕯️❤️"
@Shagwyre,Algo go brrr
@UrDominioN,"Man, I’m talkative today! Spiritually looking at what he’s expressing: If the collective of humans don’t want to be in the downhill cliff?  Then, if our collective vibration, is high, we may come up with ways that would only seem impossible if you’re being negative.Much love"
@UrDominioN,"It’s taking me 62 years to figure out that there’s a lot of things I don’t know, that I don’t know about myself… Therefore, I think that there’s wisdom in knowing that you can make your future, whatever you want it to be!  Even if you don’t know everything! I don’t have the eloquent words… But I’m in love with life! And that feels better than despair for the future.Much love"
@JasKhalid,All that really stuck with me is the 5 questions at the beginning. What was Jordan’s pov?
@andreibiziorek,"Why aren&#39;t you cynical about your own doubts? If you ponder it, this is really an awakening question."
@stevenbaker799,There is no such thing as absolute  truth what did one  ear say to the other  that depends  who was listening  to who  and who  said what to who when the two ears  come together  then  you have the answer
@lordofrapyouknowme,JP buddy to discuss the weight of the things you just heard. “The truth is optimally difficult… the truth is adventure.”
@PtolemySoter,"A note on good and bad /evil , in classical Greek , their meanings are good = fits for the current purpose, bad / evil = does not fit for the current purpose. Under this explanation, there is no constant good or bad, and if setting God as source of good, it means it is something totally personal source of interests. Belief in absolute good, means what you classify now , here as acceptable  and or desired, will be bad later / elsewhere for you, and your god turned evil  to you :) . Now think what eternity to a god means being good for you? Static existence , worse than stone, or water, as these also change in eternity. Remember when you bought your last pair of shoes ... how Good they were. Please try to say exactly the same for the pair of shoes a year later. Did they turn evil to you ? :)"
@jasonb.9167,Jordan is like everyone&#39;s well-grounded grampa or dad that is an absolute wealth of life information.
@Mistycircle,"Maybe you want hypotheses then give honest results,  you don’t get to instill your verbiage in a “study”when you are cheating the “honest” results and then rant about it!  Just saying."
@Blue-lo4cb,"This is by far the best conversation I’ve listened to in 2024. Thank you both for a wonderful opportunity to “attend to my own ignorance” once again. Always, always, always a pleasure. I’m 42 and have just purchased tickets to my very first anything concert, lecture, show of any type. Dr. Peterson I can’t wait to see you in Phoenix in a few days. I’ve listened to you and you have helped me so much over the years I feel as though my presence and contribution to your live paid event is my opportunity to show you my gratitude. I wish so much that I could have afforded to meet you and thank you in person but we do what we are able. I know it will be a wonderful and worthy first time. I hope In your “stalk” we meet each other’s gaze and acknowledge our presence and gratitude."
@maxsjj3482,he is lying ! don&#39;t listen to him
@DanielGwimbly-theGwimb-Larson,I got 26 words in 3 minutes
@juliapadilla1762,This was so great and puts so much light to life. ❤
@A-NetSeeleyMiller,Take bad publicity and make it good publicity. Loving this talk.
@kimjaniga7517,"Two amazing minds exchanging views is so enlightening. Thank you both, I love you!"
@orangeswell1469,Great episode guys 👍🏼♥️👍🏼
@chrisstace7920,"‭Romans 8:24<br>For we were saved in this hope, but hope that is seen is not hope; for why does one still hope for what he sees?"
@vicrackingup2,You ask the guy a question and he reads you the whole dictionary…. <br><br>What makes a great teacher is someone who can reach your heart by getting to the point in a way you can understand it simply. <br><br>Nothing beats the Golden rule.
@willissudweeks1050,"<a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=10735"">2:58:55</a> sir your parents are the number one people who’s room you shouldn’t just walk into."
@cincy.a.l.w3219,"@<a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=3150"">52:30</a> ... It just clicked a couple minutes later as to why they call him &quot;Hedgehog&quot; 🤣"
@OldSawmill007,"Mmm, I enjoy listening to Jordan talking and predominantly agree with  a lot of his slants but not sure about his comment about a 14 month old child - not sure the brain biology at this age fits with what he is saying here 🤔🤔"
@Kblack4Christ,Love love love Peterson!!!!
@maryamsaqib7750,Praiseworthy man 👏👏👏 Dr peterson ❤
@maryamsaqib7750,Most people look at wrong place. I was searching or researching my answers at wrong place ❤❤ you might find you are stupid yes it&#39;s painful. 💯 👍👍👍👍👍👍👍
@raphaellavictoria01,"I listened now to a good 5-7 minutes of this, as a sample of his thoughts. Certainly some things are very true, but other things, e.g. the whole diatribe about the granddaughter, are unnecessary elaborations while being simplistic, all at the same time: such as, boundaries aren&#39;t there to help your child be the best of themselves, but they&#39;re important because 1. you&#39;re a person too, 2. the child needs to learn there is such a thing as boundaries, and respect them. I wouldn&#39;t just tell them, &quot;don&#39;t do that&quot;. Get in the habit of asking, why did you do this? And then you tell them how it made you feel, or what it would look like to someone else, such that they understand why it&#39;s wrong. <br><br>Seeing the &quot;hidden soul&quot;: VERY true. But the whole Michelangelo &quot;see the David in the block of marble&quot;, smacks of narcissism to me. WHO the fuck are you to presume to see what I could be? He&#39;s not only talking about kids, here. They&#39;re talking about romantic partners! People aren&#39;t a block of marble, they&#39;re already a statue. Bad analogy at best. Yes, when they&#39;re young, the marble hasn&#39;t hardened yet, and the shape has yet to grow. But with an adult, the best you could do is ask, are you a David? I kind of see a David in you, am I wrong? Don&#39;t you ever think you can shape them into a David, or &quot;encourage&quot; a David in them, unless they already have a chisel in their hand.<br><br>I don&#39;t like what Peterson says about going through a thousand fights and then having peace, sounds like a poor match to me, nothing more. Also, if someone annoys you, what&#39;s with the wait until the third time rule? Why wait, and why the third time, exactly? Something about Jordan Peterson is not good. A lot of what he says is insightful, glad to hear someone say it. But not everything. I guess there&#39;s a reason he&#39;s doing cocaine, and I would never touch drugs."
@jayramirez5379,"Outside the celebrity comparison, the answer is simple, I’m talking of getting married not just dating. The reason why a man in its late 30’s or even 40 wants to marry a woman in her 20’s is because women are more attractive at that age (exclude exceptions). And if both want to start a family it’s easier for a woman in her 20’s to become a mother. Men are more responsible when they are older, and women like men who are responsible. This not a red pill B.S."
@lefoxmethodstudiouk,Jordan Peterson pushed the clot shot.
@neilnecastro9596,It occurred to me that maybe Abraham Lincoln&#39;s speaking voice resembled JP&#39;s.
@BarryandJulliaMoore,Fe
@tonysanger1275,"What Jordan Peterson fails to comprehend is truth predates any religion.<br>We have always had science.<br>It&#39;s just the further back in history you go the method of scientific thinking becomes much more simplistic.<br>But I&#39;m very sure our caveman ancestors had their own form of science.<br>That is how our ancestors created basic tools.<br>They used experimentation, reason &amp; logic.<br>That thought process predates religion as we know it."
@willissudweeks1050,I’ve had like ten flings and 4 longer term partners.  Flings were awesome.  All but 1 of the long term partners was pure misery.
@willissudweeks1050,Jordan is delusional about marriage.  He has a good one.  I have a good one but marriage in general WRECKS people all the time.
@mikebreezytv8811,"<a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=8880"">2:28:00</a> 😂 he laughed too lmao I knew I wasn’t the only one who found that portion of the video comedic."
@ryanjoseph4806,This is just phenomenal. Wonderful material and direction. Thank you
@beeggym666,"&quot;Cynics aren&#39;t cynical enough about their cynicism.&quot;<br><br>Excuse me, just gonna pause this and wonder into the woods for a few years while I break that down for myself."
@_RLY_,I bet you EVERY single person who doesn&#39;t like Dr. Peterson didn&#39;t sit through this entire video.
@saladgirl2062,I love the trailer park boys !
@artanddesign8561,Trailer park boys???? Ha ha ha  I never would have ever guessed that!!!!! Awesome!!!!
@5paceman6alaxy,"Crazy for that meat comment <a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=1392"">23:12</a>"
@it1221,"<a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=5832"">1:37:12</a> is Jordan saying this regarding hookup culture or does this also apply to people in long term committed relationships regarding certain acts which may not be necessary perse"
@rosalbadelriogarcia9598,I learned so much today. Concepts if my thinking that i had not even imagined. 🙏
@slayerem,"I find  the scientist Jordan Peterson fascinating and easy to listen to but I find the pious Jordan Peterson a very hard to follow in conversation. It&#39;s not even the religious part that i find it tedious but the way he overthinks everything and turns and twists meanings just to be the deep thinker... that is not for me... I&#39;ve been listening to Jordan since 2017 and the best things I&#39;ve found him doing are the Maps of Meaning series from University and some earlier podcasts when he was defending his freedom of speech. Lately, while I do try to listen to what he&#39;s saying, at some point (I&#39;ve stopped the video @ 1.55 minutes mark) he just makes it impossible for me to continue listening. Not even sure why I bother to write this as I don&#39;t usually tend to comment on youtube anymore but maybe, some constructive criticism that someone will bring up to him at some point."
@irishorigenes1,Interesting... but what put me off is this guy pushing products every 15min where we know he&#39;s lying about using them and their didgy benefits...particularly after them talking about the detrimental effects of lying. Not for me
@existentialDetective78,The cans in the table.... Advertisement and even the eye on the can 😮
@harrokraft5325,Musk is only a human and not a good one!
@yngdryas8681,"Typical to get to the most important part of the discussion and having to pay to listen, you are really a money hungry Ben Shapiro"
@philipduncan9337,"<a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=1813"">30:13</a> - Chris Williamsons words changed my life"
@AlitaMee,I owe the start of my personal growth to this man JP. Clean your room and his talk about dont be a peter pan don&#39;t be in a fairy land pick something and move through the tunnel .
@ricochet_180,"I could listen to JP all day, However, when he throws in religious slurs, I instantly feel like switching off. Yes, I know he&#39;s deeply religious but enough with the religious nonsense JP.  <br><br>Otherwise great podcast 👏🏻"
@AlexShadrin,"Amazing... Making coffee and starting other ... Like with Great Books, Dr. Peterson&#39;s interview will reveal more ... and sometimes, what you are listening to is an entirely different interview..."
@bobwallace7487,"Chris, here is some well earned validation. You are thoughtful, and I would say trustworthy. Holding your own, keeping difficult conversation interesting, I know I would share time with you and look forward to it. <br>JP is a gift to the world. Agree or not, if you don’t learn something about yourself, you simply gave up. I love this world that you are in it🙏🙏🙏"
@PlagueRunner,"Sorry but his argument is based on the fact that you need god to be good and that is silly assigning morality to a being that threatens you with torture if you don&#39;t believe is just stupid, I&#39;m usually a fan of his arguments but this is just silly.<br><br>I&#39;ve never believed in any god or religion made by man because it&#39;s all self serving garbage and saying that you can&#39;t have science without religion is just not true the scientific method is the complete opposite believing in god requires you belief without evidence no religion to date has ever proved their claim in the slightest, where science is based on facts you don&#39;t have belief you have a theory and you have to provide evidence to back it up."
@RobbieBobbiee,Thank you for the interview!
@progressivemr.j1225,"Jordan is helping me face some of the most problematic points within myself. I’m 35 and trying desperately to find my path. My own mind has not been kind since I was a child, let alone being 35. He’s definitely helping me navigate myself and finding the cure to my own self disdain. I’ve got a ways to go, but at least it’s a direction."
@125minden,"It&#39;s a shame that Mr Peterson throws all reason, science and logic out of the window and replaces it with believing in a mythical book of silly fairy tales, and absurd nonsense."
